year,is_partial_year,months_observed,median_price,mortgage_rate,income_young,income_all_ages,cpi,monthly_pi,monthly_piti,annual_housing_cost,required_income,affordability_index,affordability_index_all_ages,income_shortfall,price_to_income,payment_to_income,down_payment,years_to_save_down,median_price_real2024,monthly_piti_real2024,required_income_real2024,income_young_real2024,down_payment_real2024,hor_under_35,hor_all,hor_gap_under35,student_debt_per_capita,student_debt_pct_income,dti_headroom
2016,False,12,305125.0,3.6477083333333336,60930.0,59040.0,240.00541666666663,1116.3434442192165,1561.31740255255,18735.8088306306,66913.60296653786,91.05771816004268,88.2331803736898,5983.602966537859,5.007795831281799,0.3074972727823831,61025.0,10.015591662563597,398812.4702914692,2040.7139704089886,87459.17016038523,79638.32466975573,79762.49405829383,34.550000000000004,63.4,28.849999999999994,4256.895953392181,6.986535291961564,0.052502727217616896
2017,False,12,322425.0,3.991,61240.0,61140.0,245.121,1230.1070381855357,1700.3101631855357,20403.72195822643,72870.43556509439,84.0395690311127,83.90233916659423,11630.43556509439,5.264941214892227,0.33317638729958243,64485.0,10.529882429784454,412629.40093872003,2176.0036102822824,93257.29758352641,78373.03097925786,82525.88018774401,35.3,63.85,28.550000000000004,4478.193776330107,7.312530660238581,0.026823612700417554
2018,False,12,325275.0,4.539041666666667,65890.0,63180.0,251.0995,1324.539879706487,1798.899254706487,21586.791056477843,77095.68234456371,85.46522709990144,81.9501145571676,11205.682344563713,4.936636818940658,0.3276186228028205,65055.0,9.873273637881317,406365.4892283736,2247.3616961382163,96315.5012630664,82316.26188688814,81273.09784567473,36.275,64.425,28.15,4700.265218852505,7.133503139858105,0.032381377197179484
2019,False,12,320250.0,3.93375,70280.0,68700.0,255.65258333333335,1213.372958223783,1680.404208223783,20164.850498685395,72017.32320959069,97.58763151396978,95.3937149261486,1737.323209590686,4.556772908366534,0.2869216064127119,64050.0,9.113545816733067,392962.34196081856,2061.9377770630217,88368.76187412949,86236.9817111829,78592.4683921637,36.725,64.55,27.824999999999996,4896.908594755974,6.967712855372758,0.07307839358728807
2020,False,12,328150.0,3.113666666666667,71610.0,68010.0,258.85575,1122.953065881358,1601.5051492146915,19218.0617905763,68635.93496634392,104.33310194596233,99.08803607519756,-2974.0650336560793,4.5824605502024855,0.2683712022144435,65630.0,9.164921100404971,397673.4277359752,1940.8076861954012,83177.4722655172,86781.63693485658,79534.68554719505,39.15,66.6,27.449999999999996,5073.832039663664,7.085368020756408,0.09162879778555649
2021,False,12,383000.0,2.9557083333333334,74860.0,70780.0,270.97341666666665,1284.4871293826802,1843.028796049347,22116.345552592164,78986.94840211487,94.77515148312227,89.60974114313913,4126.948402114867,5.116216938284798,0.295436088065618,76600.0,10.232433876569596,443388.1349369757,2133.6216723641246,91440.92881560534,86663.27880256397,88677.62698739514,38.175,65.475,27.299999999999997,5195.923042722464,6.940853650444113,0.06456391193438199
2022,False,12,432950.0,5.3275,80240.0,74580.0,292.62641666666667,1929.2723972610295,2560.657813927696,30727.893767132355,109742.4777397584,73.11662872263544,67.95909982719532,29502.477739758397,5.395687936191425,0.38294982262129057,86590.0,10.79137587238285,464126.3177994012,2745.048348129174,117644.92920553603,86018.00609821909,92825.26355988024,38.975,65.775,26.800000000000004,5246.95074024226,6.539071211667821,-0.022949822621290583
2023,False,12,426525.0,6.795375,85780.0,80610.0,304.70300000000003,2223.4480070637,2845.4636320637,34145.5635847644,121948.44137415856,70.34120242407394,66.10170584523898,36168.44137415856,4.972312893448357,0.398059729363073,85305.0,9.944625786896713,439116.48568442056,2929.4648385314786,125548.49307992052,88312.31965772134,87823.29713688411,38.55,65.9,27.35000000000001,5189.960692611026,6.050315566112178,-0.038059729363073
2024,False,12,418975.0,6.7236666666666665,90100.0,83730.0,313.6981666666667,2168.107235191379,2779.1124435247125,33349.34932229655,119104.81900820194,75.64765284081027,70.29942255672634,29004.819008201943,4.650110987791343,0.3701370624006276,83795.0,9.300221975582685,418975.0,2779.1124435247125,119104.81900820194,90100.0,83795.0,37.1,65.625,28.525,5168.900895435202,5.7368489405496135,-0.010137062400627617
2025,False,12,415400.0,6.5958749999999995,,,321.9619090909091,2121.485633575941,2727.2773002426075,32727.32760291129,116883.31286754031,,,,,,83080.0,,404737.9977379218,2657.2767303232495,113883.28844242496,,80947.59954758435,37.1,65.275,28.175000000000004,,,
2026,True,8,409050.0,6.3505,,,330.87257142857146,2036.31101884087,2632.84226884087,31594.10722609044,112836.09723603727,,,,,,81810.0,,387817.6861895041,2496.1808991658486,106979.18139282207,,77563.53723790082,36.0,65.15,29.150000000000006,,,
